----------------------------------------------------------------------
numEmp; dni; nombre; telefono; sueldo; fechaIngreso; depart; domicilio
----------------------------------------------------------------------
1;11111111A;Ana Gómez;\N;1560.00;2008-12-01;2;1
2;22222222B;Antonio López;670656778;\N;2008-12-01;2;1
3;33333333C;Susana Peláez;656134356;2560.00;2008-12-01;3;1
4;44444444D;Alfredo Pérez;\N;2000.00;2009-12-31;5;5
5;55555555E;Luis López;\N;\N;2012-12-12;1;2
6;66666666F;Agustín Rodríguez;\N;4500.00;2001-01-01;4;9
7;77777777G;Lorena Pérez;\N;5500.00;2002-01-01;4;10
8;88888888H;Salvador Moreno;\N;3500.00;2002-03-01;3;3
9;99999999I;Adela Márquez;\N;1500.00;2012-01-01;4;4
10;10000000J;Lorena Pérez;677894323;\N;2011-01-31;1;6
11;12345678K;Julián Contreras;610237134;3100.00;2000-01-31;3;\N
12;98765433L;José Moreno;\N;4000.00;2011-01-12;4;\N
